 
 $$$$$$\                                           $$$$$$\  $$\   $$\ 
$$  __$$\                                         $$ ___$$\ $$ |  $$ |
$$ //  \__| $$$$$$\  $$\   $$\  $$$$$$\   $$$$$$\  \_/   $$ |$$ |  $$ |
$$ |$$$$\ $$  __$$\ $$ |  $$ |$$  __$$\ $$  __$$\   $$$$$ / $$$$$$$$ |
$$ |\_$$ |$$ |  \__|$$ |  $$ |$$ /  $$ |$$ /  $$ |  \___$$\ \_____$$ |
$$ |  $$ |$$ |      $$ |  $$ |$$ |  $$ |$$ |  $$ |$$\   $$ |      $$ |
\$$$$$$  |$$ |      \$$$$$$  |$$$$$$$  |\$$$$$$  |\$$$$$$  |      $$ |
 \______/ \__|       \______/ $$  ____/  \______/  \______/       \__|
                              $$ |                                    
                              $$ |                                    
                              $$ |                                    
                              $$ |                                    
                              \__|                                    
##########Major Tweets########## 
 
2017-09-19 18:26:50	2017-09-19 18:22:50	910207572761706497	2451675690	rt_root	en	another #earthquake two weeks after the big one.	1
 
2017-09-19 18:27:25	2017-09-19 18:23:11	910207657620983808	25992212	rt_root	es	ahora - fuerte terremoto en la ciudad de méxico - https://t.co/mb8cyt4b64 https://t.co/zr147canym	42
 
2017-09-19 18:29:45	2017-09-19 18:22:52	910207578243780608	8839632	rt_root	en	developing: strong earthquake rocking mexico city.	64
 
2017-09-19 18:35:23	2017-09-19 18:29:24	910209223090417664	34713362	rt_root	en	a major earthquake shakes mexico city https://t.co/ndbuo6ckso https://t.co/h7pc8np3cx	41
 
2017-09-19 18:37:05	2017-09-19 18:35:42	910210811225952258	111429630	rt_root	es	¡los quiero a todos! gracias por preguntar, el temblor se sintió espantoso, el epicentro fue aquí en puebla pero, todo bien. ¡cuídense!	1
 
2017-09-19 18:41:29	2017-09-19 18:22:32	910207494865244160	2202465062	rt_root	en	#alertasismica horrible #sismo https://t.co/hisxdfcmqx	8
 
2017-09-19 18:43:20	2017-09-19 18:41:01	910212147937980416	50626996	rt_root	es	aviso se suspenden las clases en todos los planteles de la unam de #cdmx y área conurbada, para revisar las instalaciones después de #sismo.	221
 
2017-09-19 18:46:31	2017-09-19 18:33:44	910210314460790784	94474010	rt_root	es	reportan 2 sismos hace unos minutos, ambos se sintieron en cdmx: 1. de 7.1 y con epicentro en morelos 2. de 6.8 y con epicentro en puebla	26
 
2017-09-19 18:47:35	2017-09-19 18:44:57	910213136002641920	20350761	rt_root	es	#sismo en cuernavaca #noticiaseldictamen?#temblor https://t.co/p9vgsopyza	2
 
2017-09-19 18:48:23	2017-09-19 18:40:24	910211992606081024	869146172	rt_root	es	temblores al 2x1 ahora sí agarrense jajajajaj	1
 
2017-09-19 18:49:22	2017-09-19 18:24:57	910208105996275712	145025600	rt_root	es	#tenemossismo: primero realizaron el simulacro por el 32 aniv. del temblor del 85 y horas después tiembla de verdad. https://t.co/qjq01kldik	39
 
2017-09-19 18:49:57	2017-09-19 18:49:56	910214391924174848	2263594111	tweet	es	@arturoelias estás bien? acabo de ver la noticia del sismo, como estás?	0
 
